"Item Name","UPC Barcode","Item Number",Size,Color,Category,Price,Cost,Availability,Status
"10 Week Session Package (30 MIN)",,,,,"Parks & Rec",125.00,0.00,"Out of Stock",Active
"10 Week Session Package (60 MIN)",,,,,"Parks & Rec",155.00,0.00,"Out of Stock",Active
"10 Week Session Package (90 MIN)",,,,,"Parks & Rec",190.00,0.00,"Out of Stock",Active
"10 Week Session Package (Senior)",,,,,"Parks & Rec",155.00,0.00,"Out of Stock",Active
"30 MIN Drop-in (10 Week)",,,,,"Parks & Rec",12.50,0.00,"Out of Stock",Active
"30 MIN Drop-in (8 week)",,,,,"Parks & Rec",11.88,0.00,"Out of Stock",Active
"60 MIN Drop-in (10 week)",,,,,"Parks & Rec",15.50,0.00,"Out of Stock",Active
"60 MIN Drop-in (8 week)",,,,,"Parks & Rec",15.00,0.00,"Out of Stock",Active
"8 Week Session Package (30 MIN)",,,,,"Parks & Rec",95.00,0.00,"Out of Stock",Active
"8 Week Session Package (60 MIN)",,,,,"Parks & Rec",120.00,0.00,"Out of Stock",Active
"8 Week Session Package (90 MIN)",,,,,"Parks & Rec",150.00,0.00,"Out of Stock",Active
"8 Week Session Package (Senior)",,,,,"Parks & Rec",95.00,0.00,"Out of Stock",Active
"90 MIN Drop-in (10 week)",,,,,"Parks & Rec",19.00,0.00,"Out of Stock",Active
"90 MIN Drop-in (8 week)",,,,,"Parks & Rec",18.75,0.00,"Out of Stock",Active
"Adventure Pack",,,,,"Disc Golf",39.99,21.00,"Out of Stock",Active
"Airheads Bites",,,,,Snacks,2.00,1.47,"Available (31)",Active
"Amped Pro Air Epic",,,,,Paddles,99.99,108.00,"Available (2)",Active
"Amped Pro Air Invikta",,,,,Paddles,99.99,108.00,"Available (2)",Active
"Assorted Nuts",,,,,Snacks,3.00,0.95,"Out of Stock",Active
"Babolat Aero 25""",,,,,Racquets,99.99,0.00,"Out of Stock",Active
"Babolat Aero 26""",,,,,Racquets,99.99,0.00,"Out of Stock",Active
"Babolat Jet Mach 3 Women's",,,,,Shoes,109.99,0.00,Unavailable,Active
"Babolat Jet Mach Pickleball Men's",,,,,Shoes,149.99,74.52,"Available (4)",Active
"Babolat Jet Mach Pickleball Women's",,,,,Shoes,149.99,74.52,"Available (3)",Active
"Babolat Overgrip (3-pk)",,,,,Accessories,7.99,4.23,"Available (6)",Active
"Babolat Propulse Fury Women's",,,,,Shoes,109.99,0.00,Unavailable,Active
"Babolat Pure Aero",,,,,Racquets,299.99,153.03,"Available (1)",Active
"Babolat Pure Aero 98",,,,,Racquets,309.99,158.16,"Out of Stock",Active
"Babolat Pure Drive",,,,,Racquets,299.99,132.58,"Out of Stock",Active
"Babolat Pure Drive 25""",,,,,Racquets,149.99,54.46,"Out of Stock",Active
"Babolat Pure Drive 26""",,,,,Racquets,129.99,54.46,"Out of Stock",Active
"Babolat Pure Drive Backpack",,,,,Bags,119.99,51.15,"Available (1)",Active
"Babolat Pure Drive Bag 12PK",,,,,Bags,179.99,81.86,"Available (1)",Active
"Babolat Pure Drive Bag 6PK",,,,,Bags,149.99,66.47,"Available (1)",Active
"Babolat Pure Strike 98",,,,,Racquets,249.99,146.50,"Available (3)",Active
"Babolat Pure Strike Bag 12PK",,,,,Bags,179.99,0.00,"Out of Stock",Active
"Babolat Pure Strike Bag 6PK",,,,,Bags,149.99,0.00,"Available (1)",Active
"Babolat Replacement Grip",,,,,Accessories,11.99,4.23,"Available (6)",Active
"Babolat RPM Blast",,,,,String,34.99,9.99,"Available (21.5)",Active
"Babolat RPM Rough",,,,,String,34.99,0.00,"Available (32)",Active
"Babolat Vibration Dampener (2-pk)",,,,,Accessories,5.99,4.77,"Available (12)",Active
"Babolat XALT",,,,,String,36.99,0.00,"Available (12)",Active
"Babolat XCEL",,,,,String,36.99,0.00,"Available (8.5)",Active
"Ball Machine 10-Hr Package",,,,,"Ball Machine",155.00,0.00,"Out of Stock",Active
"Ball Machine 15-Hr Package",,,,,"Ball Machine",220.00,0.00,"Out of Stock",Active
"Ball Machine 5-Hr Package",,,,,"Ball Machine",90.00,0.00,"Out of Stock",Active
"Barebells Bar",,,,,Snacks,3.00,2.00,"Out of Stock",Active
"Bomb Pop",,,,,"Ice Cream",3.00,1.24,"Out of Stock",Active
Butterfinger,,,,,Snacks,2.00,0.00,"Available (3)",Active
"Cartoon Faces Bar",,,,,"Ice Cream",3.00,1.45,"Out of Stock",Active
"CHAMPION Plastics",,,,,"Disc Golf",17.99,9.25,"Out of Stock",Active
"Champions Choice",,,,,String,54.99,0.00,"Out of Stock",Active
Chips,,,,,Snacks,2.00,0.80,"Out of Stock",Active
"Clif Bar",,,,,Snacks,3.00,1.66,"Available (79)",Active
Coke,,,,,Drinks,1.81,0.91,"Out of Stock",Active
"Cookies 'N Creme Bar",,,,,"Ice Cream",3.00,1.67,"Out of Stock",Active
"Cookies 'N Creme Sandwich",,,,,"Ice Cream",3.50,1.42,"Out of Stock",Active
"Cool Tube Push-Up",,,,,"Ice Cream",2.50,0.96,"Available (2)",Active
"Creme Soda",,,,,Drinks,1.81,0.55,"Out of Stock",Active
"Demo Paddle (rental)",,,,,Paddles,3.00,0.00,"Out of Stock",Active
